排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《逆骨成魔尊》第一集|我亲手挖掉自己的至尊骨送给妹妹，只为续她一命,阿林动漫_,4653107,18719,1,https://www.bilibili.com/video/BV1ZVJH6rExn,AI漫剧 修仙
2,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3623512,166883,1709,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
3,《逃亡女皇》第一集！女皇逃亡，救助瞎眼剑客！,爱神漫剧馆,2304339,16002,80,https://www.bilibili.com/video/BV1rooQBsEPN,AI动画 玄幻
4,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1474420,7440,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
5,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1432453,6049,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
6,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421654,8430,48,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
7,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1332490,9495,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
8,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1201898,32389,1101,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
9,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954342,5731,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
10,《贪吃姐弟》擂台大比！,爱神漫剧馆,927757,1536,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
11,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,888416,7191,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
12,《阿东修仙传》第一集,Ai-阿东同学,853887,3436,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
13,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,842298,3471,1598,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
14,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,713878,9179,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
15,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,590816,44757,445,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
16,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,567597,3861,175,https://www.bilibili.com/video/BV14hQGB3ETc,AI漫剧 修仙
17,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,567327,2869,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
18,全宗门都在偷听我这个杂役的心声,黔佳漫剧,542998,1987,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
19,《一剑护苍生》大结局|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,539576,4208,10,https://www.bilibili.com/video/BV1T2V36mEAY,AI漫剧 修仙
20,《我真不是霸王龙啊》03|我重回末世的第一件事就是生吞霸王龙化石,林间漫_,530226,1362,0,https://www.bilibili.com/video/BV1RaVp6dEfe,AI动画 玄幻
21,《修仙之从零开始》,史太郎呼呼,526504,3287,47,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
22,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,516462,1166,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
23,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,387464,1738,489,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
24,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,384972,23045,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
25,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,338350,20526,727,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
26,全能Ai 仙侠副本02,只只说动漫,335888,1081,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
27,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277196,7569,120,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
28,AI修仙｜“天上白玉京”,纠结的柠檬君,236456,7373,233,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
29,“我希望能创造出一片万族共存的天地” 玄幻世界,御赐AI画师,212067,9125,293,https://www.bilibili.com/video/BV15sJNzgERE,AI动画 玄幻
30,全能Ai 仙侠副本20,只只说动漫,201961,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
31,暂停挑战！韩立与谁双修成功？与王婵一次成功，祝你修仙路上一路长虹  #创作灵感 #凡人修仙传 #暂停挑战 本视频部分内容由AI工作辅助制作,说书人阿阵,196798,26955,767,https://www.bilibili.com/video/BV1AsAdzsEy1,AI动画 玄幻
32,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,185109,5793,184,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 玄幻
33,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,185109,5793,184,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
34,有ai就是不用心？中肯评价牧神记！【国动万象】,碎辰_,172304,1523,488,https://www.bilibili.com/video/BV1SPS1YrEnc,AI动画 玄幻
35,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103514,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
36,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,62760,679,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
37,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,61554,2706,144,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
38,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,58677,3679,543,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
39,凡人修仙传 自制ai动画 青元子自传,梦境旅行社,53619,2249,23,https://www.bilibili.com/video/BV1bddRYJEnB,AI动画 仙侠
40,自制AI动画 凡人修仙传 莫简离 灵界人族唯一大乘,梦境旅行社,52652,2162,12,https://www.bilibili.com/video/BV1KEu4ztErX,AI动画 仙侠
41,【MBTI群像动画】仙侠篇《云隐录》——第二集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,51216,2209,289,https://www.bilibili.com/video/BV1TU68BYEgg,AI动画 仙侠
42,【一门双至尊】-第二季合集（上）,阿珂不是刺客,45490,1551,244,https://www.bilibili.com/video/BV1KXRXBFEPV,AI动画 仙侠
43,八荒曲：永宁州篇丨第二集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,42267,2843,553,https://www.bilibili.com/video/BV1KtZ4BwEPt,AI动画 仙侠
44,AI猫咪动画版《蜀山传》致敬经典仙侠玄幻,AI胖橘金钰林,39856,734,48,https://www.bilibili.com/video/BV1hgvWBqEju,AI动画 仙侠
45,八荒曲：永宁州篇丨第三集丨鬼谷八荒同人动画丨UP一人肝番剧丨啊？这个女魔修是恋爱脑？,L大叔与猫,38657,1966,549,https://www.bilibili.com/video/BV1DLwMzwERN,AI动画 仙侠
